City_ID,City,Country,Date,Lat,Lon,Max Temp,HUmidity,Cloudiness,Wind Speed
183,Mar Del Plata,AR,2021-04-21 14:59:12,-38.0023,-57.5575,71.6,68,20,23.02
184,Safford,US,2021-04-21 15:03:21,32.834,-109.7076,69.8,11,1,14.97
185,San Jeronimo,PE,2021-04-21 15:03:22,-11.9472,-75.2829,58.23,55,4,2.84
186,Arman,RU,2021-04-21 15:03:22,59.7,150.1667,30.51,98,100,4.21
187,Saint George,US,2021-04-21 14:58:46,37.1041,-113.5841,66.0,15,1,12.66
188,Lebu,CL,2021-04-21 15:03:23,-37.6167,-73.65,55.51,86,87,13.65
189,Bolshaya Sosnova,RU,2021-04-21 15:03:23,57.6713,54.6029,48.38,45,100,11.14
190,Staryy Nadym,RU,2021-04-21 15:03:24,65.6118,72.6842,30.65,94,100,13.04
191,Staroye Drozhzhanoye,RU,2021-04-21 15:03:24,54.7266,47.5677,36.95,88,100,20.85
192,Te Anau,NZ,2021-04-21 15:03:24,-45.4167,167.7167,48.31,94,89,0.92
193,Urengoy,RU,2021-04-21 15:03:25,65.9667,78.3667,20.68,91,98,8.9
194,Alikovo,RU,2021-04-21 15:03:25,55.7383,46.7549,35.6,93,75,22.37
195,Bubaque,GW,2021-04-21 15:03:26,11.2833,-15.8333,78.58,66,84,12.62
196,Jieshi,CN,2021-04-21 15:03:26,22.8134,115.8257,71.58,76,0,12.8
197,Neuquen,AR,2021-04-21 15:02:53,-38.9516,-68.0591,59.0,88,75,7.47
198,Ostrovnoy,RU,2021-04-21 15:03:27,68.0531,39.5131,38.19,76,68,10.33
199,New Norfolk,AU,2021-04-21 15:03:27,-42.7826,147.0587,53.01,70,100,7.0
200,Buala,SB,2021-04-21 15:03:28,-8.145,159.5921,79.68,82,82,1.59
201,Japura,ID,2021-04-21 15:01:16,-0.3167,102.35,77.04,91,94,2.62
202,Kismayo,SO,2021-04-21 14:59:03,-0.3582,42.5454,83.16,74,87,14.94
203,Narsaq,GL,2021-04-21 15:03:29,60.9167,-46.05,53.6,24,75,23.02
204,Vuktyl,RU,2021-04-21 15:03:29,63.8567,57.3094,40.12,87,60,5.21
205,Jinchang,CN,2021-04-21 15:03:30,38.4953,102.1739,60.58,24,0,7.29
206,Nizhnyaya Omka,RU,2021-04-21 15:03:30,55.4338,74.9426,30.02,68,66,11.79
207,Apt,FR,2021-04-21 15:03:30,43.8833,5.4,60.8,63,0,3.44
208,Cayenne,GF,2021-04-21 15:03:31,4.9333,-52.3333,86.0,66,75,11.5
209,Atasu,KZ,2021-04-21 15:03:31,48.6814,71.6433,39.34,50,7,6.91
210,Belmopan,BZ,2021-04-21 15:03:31,17.25,-88.7667,84.99,83,75,3.98
211,Omama,JP,2021-04-21 15:03:32,36.4333,139.2833,50.0,32,0,1.99
212,Balakhta,RU,2021-04-21 15:03:32,55.38,91.6,21.52,90,100,4.61
213,Sobolevo,RU,2021-04-21 15:03:33,54.4299,31.8996,48.67,61,84,9.4
214,Medina,SA,2021-04-21 15:03:15,24.4686,39.6142,100.4,5,20,9.22
215,Galion,US,2021-04-21 15:03:33,40.7337,-82.7899,35.01,84,96,11.77
216,Husavik,IS,2021-04-21 15:03:34,66.0449,-17.3389,46.4,53,75,17.27
217,Sistranda,NO,2021-04-21 15:03:34,63.7256,8.834,41.0,65,75,18.41
218,Kautokeino,NO,2021-04-21 15:03:35,69.0125,23.0412,34.16,100,100,6.62
219,Isiro,CD,2021-04-21 15:03:35,2.7739,27.616,79.68,62,99,4.88
220,Ormara,PK,2021-04-21 15:03:35,25.2088,64.6357,81.7,80,0,11.68
221,Radcliff,US,2021-04-21 15:03:36,37.8404,-85.9491,37.99,87,75,5.75
222,Timucuy,MX,2021-04-21 15:03:36,20.8167,-89.5167,86.0,65,75,1.61
223,Saskylakh,RU,2021-04-21 15:03:37,71.9167,114.0833,-5.58,99,87,4.34
224,Sola,VU,2021-04-21 15:03:37,-13.8833,167.55,82.38,76,69,11.7
225,Casper,US,2021-04-21 15:00:28,42.8666,-106.3131,28.0,86,1,3.44
226,Fortuna,US,2021-04-21 15:03:38,40.5982,-124.1573,48.99,100,90,3.44
227,Salta,AR,2021-04-21 15:03:38,-24.7859,-65.4117,71.01,73,40,3.44
228,Riviere-Au-Renard,CA,2021-04-21 15:03:39,48.9957,-64.3971,48.2,46,40,10.36
