City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Yorkton,CA,51.2167,-102.4677,42.8,21,75,16.11,broken clouds
328,Kyaikto,MM,17.3,97.0167,83.08,79,58,8.77,broken clouds
329,Morehead,US,37.2711,-87.1764,53.01,93,90,6.91,heavy intensity rain
330,Bozuyuk,TR,39.9078,30.0367,57.2,67,75,9.22,broken clouds
331,Paracuru,BR,-3.41,-39.0306,82.99,77,54,20.0,moderate rain
332,Kudahuvadhoo,MV,2.6708,72.8944,83.44,65,12,7.92,few clouds
333,Buldana,IN,20.5333,76.1833,86.45,17,72,4.25,broken clouds
334,Birobidzhan,RU,48.8,132.95,35.65,35,31,13.06,scattered clouds
335,Abong Mbang,CM,3.9833,13.1833,69.8,85,73,2.75,broken clouds
336,Dongli,CN,23.5656,116.8194,73.4,68,75,4.47,broken clouds
337,Ponta Do Sol,PT,32.6667,-17.1,66.2,63,40,8.05,scattered clouds
338,Zhaotong,CN,27.3167,103.7167,58.91,85,89,6.89,overcast clouds
339,Varhaug,NO,58.6147,5.6457,45.0,65,6,8.01,clear sky
340,Whitehorse,CA,60.7161,-135.0538,42.01,48,20,8.05,few clouds
341,Marsh Harbour,BS,26.5412,-77.0636,76.6,71,100,15.88,overcast clouds
342,Asfi,MA,32.2994,-9.2372,65.48,71,2,10.49,clear sky
343,Orikum,AL,40.3253,19.4714,58.17,80,100,10.6,overcast clouds
344,Bengkulu,ID,-3.8004,102.2655,75.72,89,98,3.98,overcast clouds
345,Cururupu,BR,-1.8283,-44.8683,85.8,63,100,6.11,overcast clouds
